docid,year,num_reviews,FUEL,INTERIOR,EXTERIOR,BUILD,PERFORMANCE,COMFORT,RELIABILITY,FUN,overall_rating
2008_acura_mdx,2008,106,6.84,9.08,9.04,8.58,9.07,9.23,8.89,8.99,8.71
2008_acura_rdx,2008,66,6.36,9.23,9.00,9.21,9.09,8.71,9.38,9.38,8.80
2008_acura_rl,2008,18,8.11,9.44,9.11,9.39,9.17,9.44,9.33,8.78,9.10
2008_acura_tl,2008,113,7.99,9.29,9.11,9.02,8.90,9.03,9.38,9.11,8.98
2008_acura_tsx,2008,53,8.32,9.43,8.79,9.66,8.75,9.28,9.81,9.32,9.17
2008_audi_a3,2008,28,8.36,9.25,9.50,8.86,9.21,9.00,8.57,9.68,9.05
2008_audi_a4,2008,37,8.51,8.95,9.38,8.84,8.38,8.89,8.70,9.51,8.90
2008_audi_a5,2008,24,8.50,9.92,9.92,9.83,9.33,9.67,9.63,9.88,9.58
2008_audi_a6,2008,26,9.04,9.69,9.65,9.50,9.12,9.50,9.12,9.31,9.37
2008_audi_q7,2008,18,6.78,8.94,9.39,9.11,8.94,9.11,8.89,9.17,8.79
2008_audi_rs4,2008,12,6.50,9.58,9.25,9.58,9.17,9.58,9.42,9.17,9.03
2008_audi_s5,2008,13,5.92,9.69,9.85,9.69,9.85,9.54,9.62,9.92,9.26
2008_audi_tt,2008,32,8.63,9.53,9.81,9.41,9.28,9.38,9.41,9.81,9.41
2008_bmw_1_series,2008,58,7.74,9.00,9.43,9.29,9.66,8.97,9.26,9.74,9.14
2008_bmw_3_series,2008,140,7.91,8.94,9.51,9.46,9.56,8.86,9.27,9.71,9.15
2008_bmw_5_series,2008,126,7.97,9.03,9.29,9.21,9.34,9.38,8.72,9.48,9.05
2008_bmw_7_series,2008,14,7.79,9.07,9.07,8.86,9.36,9.50,8.86,9.50,9.00
2008_bmw_m3,2008,17,7.18,9.59,10.00,9.88,9.94,9.71,9.82,10.00,9.51
2008_bmw_x3,2008,24,6.50,8.33,8.46,8.38,8.67,8.29,8.46,8.79,8.23
2008_bmw_x5,2008,48,6.46,9.29,9.38,8.83,8.69,8.85,8.60,9.10,8.65
2008_bmw_x6,2008,13,6.77,8.77,9.23,9.46,9.00,9.00,9.38,9.15,8.85
2008_buick_enclave,2008,206,7.54,9.46,9.65,9.31,8.71,9.65,9.09,9.13,9.07
2008_buick_lacrosse,2008,32,6.59,8.28,9.03,8.53,8.69,8.44,9.09,8.34,8.38
2008_buick_lucerne,2008,42,6.93,8.57,8.88,8.45,8.38,9.00,8.67,8.45,8.42
